                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.58637,                 1.0532,                0.56554,                 1.0722,                0.90891,                0.84321,                0.91066,                0.63709,                0.77708,                0.71831,                0.67098,                0.32451,                  1.023,                 2.0923,                 0.7209,                 1.1271,              0.0002378,              0.0002378,              0.0002378
                     91,                0.60721,                 1.0397,                0.51903,                 1.0488,                 0.8786,                0.83099,                0.88355,                0.62131,                0.79083,                0.74551,                0.70563,                0.33094,                 1.0442,                 1.9979,                0.72594,                 1.1286,               0.000218,               0.000218,               0.000218
                     92,                0.56132,                0.99918,                0.50689,                 1.0482,                 0.8742,                0.84507,                0.89648,                0.65892,                0.80215,                0.77465,                0.75987,                0.38001,                0.99086,                 2.0435,                0.71782,                 1.1157,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.5798,                 1.0006,                 0.5036,                 1.0583,                0.87157,                0.84507,                0.89506,                0.64909,                0.78272,                0.77465,                 0.7471,                0.37271,                0.99925,                 1.8655,                0.71256,                 1.1558,              0.0001784,              0.0001784,              0.0001784
                     94,                0.54609,                0.98913,                0.48316,                 1.0222,                0.88558,                 0.8169,                0.89305,                0.64821,                0.75139,                0.73239,                0.66651,                0.33439,                 1.0072,                 2.0794,                0.72932,                 1.1586,              0.0001586,              0.0001586,              0.0001586
                     95,                0.52328,                0.99006,                0.46706,                 1.0199,                0.86815,                0.85915,                0.90151,                0.66183,                0.79096,                0.74609,                0.70644,                0.36511,                0.98875,                 2.0718,                0.69936,                 1.1512,              0.0001388,              0.0001388,              0.0001388
                     96,                0.52391,                0.98183,                0.45476,                  1.018,                0.89844,                 0.8169,                0.89978,                0.67016,                0.84625,                0.77524,                0.77796,                0.42495,                0.97075,                 2.1021,                0.68721,                 1.1501,               0.000119,               0.000119,               0.000119
                     97,                0.53803,                 1.0168,                0.46201,                 1.0218,                0.88526,                0.84507,                0.91244,                0.67062,                0.82261,                0.78873,                0.75601,                 0.4267,                0.98368,                 2.1456,                0.67204,                  1.161,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.5255,                0.98062,                0.46042,                 1.0111,                0.93488,                 0.8089,                0.91525,                0.68418,                0.81684,                0.78873,                0.77075,                0.42515,                 0.9671,                 2.0753,                0.66972,                 1.1435,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.54162,                0.99222,                0.47131,                 1.0091,                0.90374,                0.84507,                0.91287,                  0.684,                0.80851,                0.76056,                0.74946,                0.41542,                0.94515,                 2.1663,                0.65621,                 1.1247,               5.96e-05,               5.96e-05,               5.96e-05
